session,username,application,activity,event,time,created_at,updated_at,event_value,name,switch,x,type,board,source,dest,y,currentFlowing,groupname
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266125.486,0.0,0.0,"","","","","",0,"{""component""=>""lc0"", ""pin""=>{""index""=>8, ""name""=>""9""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>2, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Add wire,1487266127.194999,0.0,0.0,"","","","","",1,"{""component""=>""lc1"", ""pin""=>{""index""=>12, ""name""=>""13""}, ""type""=>""pin"", ""board""=>1}","{""component""=>""lc0"", ""pin""=>{""index""=>11, ""name""=>""12""}, ""type""=>""pin"", ""board""=>1}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487266133.062,0.0,0.0,"",lc1,"",109.76,7408,0,"","",260.68,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487266135.423,0.0,0.0,"",lc2,"",356.72,7411,0,"","",96.04,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266145.269999,0.0,0.0,"","","","","",0,"{""component""=>""lc0"", ""pin""=>{""index""=>11, ""name""=>""12""}, ""type""=>""pin"", ""board""=>0}","{""component""=>""lc2"", ""pin""=>{""index""=>10, ""name""=>""11""}, ""type""=>""pin"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266160.384,0.0,0.0,"","","","","",0,"{""component""=>""lc0"", ""pin""=>{""index""=>9, ""name""=>""10""}, ""type""=>""pin"", ""board""=>0}","{""component""=>""lc2"", ""pin""=>{""index""=>9, ""name""=>""10""}, ""type""=>""pin"", ""board""=>0}","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Add wire,1487266162.599999,0.0,0.0,"","","","","",1,"{""component""=>""lc0"", ""pin""=>{""index""=>5, ""name""=>""6""}, ""type""=>""pin"", ""board""=>1}","{""component""=>""lc1"", ""pin""=>{""index""=>8, ""name""=>""9""}, ""type""=>""pin"", ""board""=>1}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266179.943,0.0,0.0,"","","","","",0,"{""component""=>""lc2"", ""pin""=>{""index""=>8, ""name""=>""9""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>2, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Sent message,1487266197.098999,0.0,0.0,im goiing to label my pinouts,"","","","",1,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266201.2489998,0.0,0.0,"","","","","",0,"{""component""=>""lc2"", ""pin""=>{""index""=>7, ""name""=>""8""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""bus"", ""hole""=>{""index""=>0, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Sent message,1487266212.23,0.0,0.0,#1 is the first output,"","","","",0,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Sent message,1487266220.8299992,0.0,0.0,well input to you,"","","","",0,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266245.4779992,0.0,0.0,"","","","","",0,"{""component""=>""lc2"", ""pin""=>{""index""=>12, ""name""=>""13""}, ""type""=>""pin"", ""board""=>0}","{""component""=>""lc0"", ""pin""=>{""index""=>11, ""name""=>""12""}, ""type""=>""pin"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266264.198999,0.0,0.0,"","","","","",0,"{""component""=>""lc2"", ""pin""=>{""index""=>0, ""name""=>""1""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>1, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Toggled Switch,1487266264.755,0.0,0.0,0,"",1,"","",0,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Toggled Switch,1487266267.960999,0.0,0.0,0,"",0,"","",0,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266283.750999,0.0,0.0,"","","","","",0,"{""component""=>""lc0"", ""pin""=>{""index""=>7, ""name""=>""8""}, ""type""=>""pin"", ""board""=>0}","{""component""=>""lc2"", ""pin""=>{""index""=>1, ""name""=>""2""}, ""type""=>""pin"", ""board""=>0}","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Closed board,1487266288.013999,0.0,0.0,1,"","","","",1,"","","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Opened board,1487266290.845999,0.0,0.0,1,"","","","",1,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266298.644999,0.0,0.0,"","","","","",0,"{""component""=>""lc2"", ""pin""=>{""index""=>11, ""name""=>""12""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""bus"", ""hole""=>{""index""=>1, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Add wire,1487266308.1529999,0.0,0.0,"","","","","",1,"{""component""=>""lc1"", ""pin""=>{""index""=>11, ""name""=>""12""}, ""type""=>""pin"", ""board""=>1}","{""component""=>""lc0"", ""pin""=>{""index""=>7, ""name""=>""8""}, ""type""=>""pin"", ""board""=>1}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Sent message,1487266314.388,0.0,0.0,#2 is the second in for you,"","","","",0,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266335.908999,0.0,0.0,"","","","","",0,"{""component""=>""lc2"", ""pin""=>{""index""=>2, ""name""=>""3""}, ""type""=>""pin"", ""board""=>0}","{""connector""=>""input"", ""hole""=>{""index""=>0, ""color""=>""#555""}, ""type""=>""hole"", ""board""=>0}","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add wire,1487266353.131999,0.0,0.0,"","","","","",0,"{""component""=>""lc2"", ""pin""=>{""index""=>3, ""name""=>""4""}, ""type""=>""pin"", ""board""=>0}","{""component""=>""lc0"", ""pin""=>{""index""=>11, ""name""=>""12""}, ""type""=>""pin"", ""board""=>0}","",true,Animals
